"","BRKM5.SA.pred","BRML3.SA.pred","CSAN3.SA.pred","EMBR3.SA.pred","ENBR3.SA.pred","GGBR4.SA.pred","MRFG3.SA.pred","VALE3.SA.pred","VIVT3.SA.pred","WEGE3.SA.pred"
"2015-07-06",0.148091596870903,0.0164963850527465,-0.0627079182315135,0.186617440955331,0.0356398368067657,-0.294066405695703,0.194240487465387,-0.274225303206436,0.0454374482909089,0.0392919853374819
"2015-07-23",0.15289174833354,0.0113090557727251,-0.0324644566522345,0.176597160143297,0.0722552676395684,-0.278681623568815,0.118872903001758,-0.292860338398656,0.0424155826187126,-0.0427477559409122
"2015-08-11",0.206000455077524,0.0480029924406982,-0.00196721995581446,0.167883376726057,0.0762434454130984,-0.227399813483073,0.044501594829768,-0.273543296677521,0.057711187313811,-0.0972536428978465
"2015-08-27",0.235993641026901,0.104122502438167,0.0281528993054168,0.180054073105604,0.117519885437268,-0.146108921993436,-0.0836597327849623,-0.290996368727262,0.0866402432526849,-0.110264330525508
"2015-09-16",0.22718382690317,0.152040925923294,0.0815682923151857,0.168288269870084,0.231060121917634,-0.085351906064158,-0.236724928140646,-0.292377406902868,0.120449345117739,-0.0769886096831416
"2015-10-02",0.179316072201962,0.157637145743993,0.127595033693861,0.147361976241665,0.215430789582181,-0.0526865676933947,-0.282909612162711,-0.278220000665068,0.139876167257296,0.00351752563243522
"2015-10-22",0.0518793126839583,0.186248863101441,0.136800747671209,0.129567984310631,0.22848109874484,-0.0381459137144592,-0.31275374035364,-0.268032156269169,0.158281856243792,0.112714379253467
"2015-11-10",-0.101045933793656,0.174395149657692,0.123155016516384,0.0899856218642094,0.190855803358711,-0.00598121276024874,-0.3060425549931,-0.265310331299632,0.161625369811612,0.135667984459616
"2015-11-27",-0.307953186558214,0.0757737418211316,0.0854221198269349,0.0220120813570951,0.158539680606562,0.0369004990387009,-0.298432222434117,-0.266122106607783,0.150924985324503,0.102376865360878
"2015-12-16",-0.496149157163732,0.153070520657194,0.0532180901957018,-0.0675383751419886,0.13340028675045,0.0300878195234894,-0.252338415185027,-0.240476245609506,0.143217687099957,0.0340377956161666
