"","R2","MAE"
"BRKM5.SA",0.947617575206893,0.0437386477362505
"BRML3.SA",0.958843731564609,0.0373216265514397
"CSAN3.SA",0.900070771269344,0.0394223170685755
"EMBR3.SA",0.9453629674755,0.041074629877406
"ENBR3.SA",0.895506794423292,0.0288142167350111
"GGBR4.SA",0.944307428377346,0.0541148829769122
"MRFG3.SA",0.906752442114404,0.047741321662953
"VALE3.SA",0.946318636347957,0.0430343105768805
"VIVT3.SA",0.906246123096348,0.0249075622162556
"WEGE3.SA",0.950156655959342,0.0341964860005646
