"","time"
"1",87.8789834976196
"2",83.5708563327789
"3",87.7049527168274
"4",85.9357511997223
"5",86.9746279716492
"6",89.148407459259
"7",85.323616027832
"8",86.6449809074402
"9",91.2129952907562
"10",90.62726521492
"11",90.0764126777649
"12",90.5185010433197
"13",88.0473537445068
"14",89.7644319534302
"15",88.4222066402435
"16",92.3815672397614
"17",88.159660577774
"18",93.7163653373718
"19",88.7796447277069
"20",90.3518414497375
"21",92.8528497219086
"22",93.0013456344604
"23",94.2445657253265
"24",91.8485999107361
"25",95.410674571991
"26",92.2028427124023
"27",91.911155462265
"28",93.3217084407806
"29",92.4137985706329
"30",95.3349025249481
"31",94.886908531189
"32",97.4233875274658
"33",95.5447027683258
"34",97.4843723773956
"35",94.8715829849243
"36",99.6159605979919
"37",100.142091751099
"38",99.0805220603943
"39",101.469167470932
"40",98.9689555168152
"41",104.757143974304
"42",104.512791156769
"43",102.567719936371
"44",100.979757547379
"45",103.548452377319
"46",105.125982522964
"47",104.579774141312
"48",106.470388174057
"49",105.874622106552
"50",108.556849002838
"51",107.777183055878
"52",104.988849878311
"53",108.513667821884
"54",108.329254627228
"55",109.47147154808
"56",108.162934541702
"57",109.856626272202
"58",117.862033128738
"59",112.91966176033
"60",112.551956415176
"61",115.601420402527
"62",121.531996965408
"63",115.364014863968
"64",111.783398866653
"65",115.61420249939
"66",114.205900907516
"67",117.89454126358
"68",115.562954902649
"69",119.242563009262
"70",123.220355033875
"71",114.636574745178
"72",121.820475101471
"73",120.572244644165
"74",122.043492078781
"75",122.664038419724
"76",115.534476041794
"77",124.764331579208
"78",121.038242816925
"79",123.921000957489
"80",127.232733249664
"81",123.993970632553
"82",121.154701709747
"83",131.393307447433
"84",124.478852987289
"85",132.258127689362
"86",133.891437768936
"87",130.550454854965
"88",133.926899194717
"89",130.840813398361
"90",130.043363332748
"91",129.743048429489
"92",127.198270559311
"93",130.00343298912
"94",133.802987098694
"95",130.417027711868
"96",136.527271986008
"97",138.748095750809
"98",132.380431890488
"99",135.14587020874
"100",140.659066915512
"101",89.0475041866302
"102",83.7520227432251
"103",86.0618841648102
"104",86.5998229980469
"105",87.4322693347931
"106",85.3935654163361
"107",87.3292787075043
"108",91.490407705307
"109",89.6775119304657
"110",90.2031362056732
"111",86.6208243370056
"112",92.1479449272156
"113",91.4084577560425
"114",92.5671026706696
"115",93.954247713089
"116",95.1658682823181
"117",94.37375664711
"118",96.6382112503052
"119",94.434317111969
"120",98.0170683860779
"121",95.7343039512634
"122",94.7997694015503
"123",94.4509971141815
"124",96.4500522613525
"125",94.7597050666809
"126",96.2294313907623
"127",98.3177502155304
"128",97.909960269928
"129",95.4984533786774
"130",98.7547795772552
"131",97.300243139267
"132",99.6916859149933
"133",97.4241995811462
"134",102.04794549942
"135",99.611519575119
"136",102.368188381195
"137",102.875192403793
"138",99.523859500885
"139",103.417636632919
"140",100.960413455963
"141",101.997873544693
"142",100.573276042938
"143",102.325553894043
"144",101.524001836777
"145",101.375977277756
"146",105.670684576035
"147",104.175576448441
"148",104.371529579163
"149",102.915706396103
"150",104.400871276855
"151",101.067848443985
"152",106.295430421829
"153",104.65518951416
"154",107.360700845718
"155",108.763868808746
"156",107.458840608597
"157",105.325404882431
"158",107.645938634872
"159",109.407649993896
"160",108.273005247116
"161",107.214129924774
"162",114.433740377426
"163",109.432608127594
"164",108.037585735321
"165",110.567322731018
"166",108.789649963379
"167",108.414226055145
"168",108.5261926651
"169",111.76443862915
"170",110.961194038391
"171",112.014764785767
"172",111.040435791016
"173",112.809102058411
"174",109.430329322815
"175",113.439403533936
"176",113.160506010056
"177",112.909122467041
"178",116.164804935455
"179",112.565809965134
"180",117.487493753433
"181",115.259880304337
"182",116.97930932045
"183",113.857136249542
"184",113.562665700912
"185",117.722687959671
"186",114.815026044846
"187",114.085717439651
"188",117.091060400009
"189",120.103289842606
"190",121.06823849678
"191",115.994753599167
"192",119.83590388298
"193",116.710228919983
"194",117.710144758224
"195",117.657191753387
"196",118.724311351776
"197",117.174850940704
"198",122.045638561249
"199",122.660835266113
"200",117.784861803055
"201",86.7694706916809
"202",84.6880586147308
"203",84.7167387008667
"204",83.8050148487091
"205",88.8291234970093
"206",89.1663949489594
"207",85.8461179733276
"208",87.376186132431
"209",85.7634592056274
"210",90.8348927497864
"211",90.7333309650421
"212",89.9786624908447
"213",90.136057138443
"214",88.598756313324
"215",90.2975125312805
"216",91.595942735672
"217",93.5565378665924
"218",88.9266505241394
"219",91.731746673584
"220",92.7362732887268
"221",92.3613731861115
"222",93.4535386562347
"223",92.4065911769867
"224",94.245409488678
"225",93.8338105678558
"226",93.3915820121765
"227",96.3596286773682
"228",96.2092170715332
"229",94.5540726184845
"230",93.0675203800201
"231",90.6369290351868
"232",92.1891222000122
"233",91.5877370834351
"234",93.219402551651
"235",94.3457152843475
"236",94.2980880737305
"237",92.5736503601074
"238",95.8469882011414
"239",94.598370552063
"240",96.9953987598419
"241",95.2515971660614
"242",96.1095449924469
"243",96.1614558696747
"244",94.3402316570282
"245",97.4714360237122
"246",94.7588922977448
"247",97.7695298194885
"248",99.927520275116
"249",98.4764168262482
"250",99.1155967712402
"251",100.10049533844
"252",100.31587266922
"253",102.665475606918
"254",103.007180690765
"255",100.509064435959
"256",102.541971683502
"257",100.995776414871
"258",100.185932636261
"259",104.087652921677
"260",103.541643857956
"261",104.785210132599
"262",106.908252239227
"263",104.811910390854
"264",106.514776229858
"265",107.929667472839
"266",107.657311916351
"267",107.931381225586
"268",108.337342023849
"269",108.035620927811
