"","R2","MAE"
"BRKM5.SA",0.970034302905931,0.0329584213306228
"BRML3.SA",0.964420806244937,0.0295716391308292
"CSAN3.SA",0.92729100337204,0.0329795851605703
"EMBR3.SA",0.972139415332347,0.0310386053816254
"ENBR3.SA",0.933675987073769,0.0227437488692372
"GGBR4.SA",0.952140504058545,0.0488415203395226
"MRFG3.SA",0.949316457621822,0.0370413205266563
"VALE3.SA",0.957941825844546,0.0386377969479428
"VIVT3.SA",0.88867188356515,0.0254187514549688
"WEGE3.SA",0.959744581348813,0.0292507141424442
