"","BRKM5.SA.obs","BRML3.SA.obs","CSAN3.SA.obs","EMBR3.SA.obs","ENBR3.SA.obs","GGBR4.SA.obs","MRFG3.SA.obs","VALE3.SA.obs","VIVT3.SA.obs","WEGE3.SA.obs"
"1",0.703614420923028,-0.280281477396687,0.0475471973892039,0.225533854654795,0.0187240238504787,-0.458681110259735,0.082286118597614,-0.343408417707353,-0.210164902362504,-0.255071377400196
"2",0.672246138771535,-0.144912484475587,0.087333279156601,0.133689565761826,-0.185636688112687,-0.596476559158145,0.0738342620110524,-0.63920151766823,-0.169814258837441,-0.311212605331507
"3",0.539245368194277,0.00734989057680657,0.131410458592539,0.149257229221774,-0.058363357581869,-0.464991087422191,0.0256205303253478,-0.595883875134739,-0.174158191509984,-0.254561195342868
"4",0.616186139423817,0.114072504889034,0.349919968740242,0.256958106312727,0.0791281205262138,-0.416514944294749,-0.0251190600953319,-0.322773448792162,0.0105049403374315,-0.228412707894728
"5",0.51906228583187,0.234281214729725,0.418539353093631,-0.120368213790531,0.0484413526697627,-0.102278849120418,-0.0264332570681556,-0.216730389000504,0.109398600397104,-0.143980039448262
"6",0.252610604742353,0.318540022572478,0.310279940023851,-0.125321218694672,0.013267182902291,0.102352462429738,-0.0449177302943591,-0.167615409404259,0.140238351734623,-0.148150752002381
"7",0.184169960145356,0.355651473202051,0.246938493805499,-0.214547112555169,0.058545187135377,0.243891866832048,-0.0157483569681394,0.00967754838661161,0.116393209183741,-0.0883314179956503
"8",-0.0514358448476466,0.311737431882316,0.276986822736137,-0.386192509964864,0.0470991600438175,0.239229689065834,0.00314465667947195,0.00389358051913202,0.0933739823016935,0.0815831860739933
"9",-0.199631155327486,0.128832895490155,0.26608736060115,-0.441680818237165,0.0289499237636086,-0.0793519567999015,-0.0063391654437357,0.0668853891473864,0.103342289466851,-0.0845761689134275
"10",-0.312640159529107,0.207442006804096,0.267723845419629,-0.495225755622025,0.0325060697989361,0.186760696745507,-0.0838011013593816,0.142547231306143,-0.0183214615804275,-0.105715542834649
"11",-0.356674943938732,0.454151371396133,0.365058477217525,-0.467671776376032,0.229353578417265,0.456758402495715,-0.00885745383406111,0.386651846407134,0.201625940269562,-0.0837099156473222
